melhor_dist;T_max;T_0;N;num_pontos;execution_time
5216.610592084698;10.0;0.06500000000000004;1000;10;0.0
5333.825221974465;10.0;0.06600000000000004;1000;10;0.0
5333.825221974465;10.0;0.06700000000000005;1000;10;0.0
5333.825221974465;10.0;0.06800000000000005;1000;10;0.0
5333.825221974465;10.0;0.06900000000000005;1000;10;1181.6
5333.825221974465;10.0;0.07000000000000005;1000;10;0.0
5229.405136887108;10.0;0.07100000000000005;1000;10;0.0
5326.028689313851;10.0;0.07200000000000005;1000;10;0.0
5333.825221974465;10.0;0.07300000000000005;1000;10;0.0
5333.825221974465;10.0;0.07400000000000005;1000;10;0.0
5317.87844725693;10.0;0.07500000000000005;1000;10;0.0
5321.680029843018;10.0;0.07600000000000005;1000;10;0.0
5331.576471875771;10.0;0.07700000000000005;1000;10;0.0
5333.825221974465;10.0;0.07800000000000006;1000;10;0.0
5333.825221974465;10.0;0.07900000000000006;1000;10;0.0
5333.825221974465;10.0;0.08000000000000006;1000;10;0.0
5333.825221974465;10.0;0.08100000000000006;1000;10;0.0
5239.264814746657;10.0;0.08200000000000006;1000;10;0.0
5303.454714980009;10.0;0.08300000000000006;1000;10;0.0
5333.825221974465;10.0;0.08400000000000006;1000;10;0.0
5301.695633764279;10.0;0.08500000000000006;1000;10;0.0
5279.653149113155;10.0;0.08600000000000006;1000;10;0.0
5332.587461466815;10.0;0.08700000000000006;1000;10;0.0
5284.980509912274;10.0;0.08800000000000006;1000;10;0.0
5248.734633484041;10.0;0.08900000000000007;1000;10;0.0
5333.825221974465;10.0;0.09000000000000007;1000;10;0.0
5333.825221974465;10.0;0.09100000000000007;1000;10;0.0
5224.474323960935;10.0;0.09200000000000007;1000;10;0.0
5277.654154190766;10.0;0.09300000000000007;1000;10;0.0
5292.950430821844;10.0;0.09400000000000007;1000;10;0.0
5333.825221974465;10.0;0.09500000000000007;1000;10;0.0
5333.825221974465;10.0;0.09600000000000007;1000;10;0.0
5319.344355217381;10.0;0.09700000000000007;1000;10;0.0
5333.825221974465;10.0;0.09800000000000007;1000;10;0.0
5333.825221974465;10.0;0.09900000000000007;1000;10;0.0
5323.544506672835;10.0;0.1;1000;10;0.0
5333.825221974465;10.0;0.001;1050;10;0.0
5278.405313841068;10.0;0.001;1100;10;0.0
4718.3299846677955;10.0;0.001;1150;10;1050.2
4051.9885061333757;10.0;0.001;1200;10;1052.7
3925.8120216982484;10.0;0.001;1250;10;1051.8
4306.204318521284;10.0;0.001;1300;10;2224.3
4469.30251727204;10.0;0.001;1350;10;1049.5
4048.341317766906;10.0;0.001;1400;10;1321.2
4211.269074683407;10.0;0.001;1450;10;1051.3
4238.435666485188;10.0;0.001;1500;10;2122.9
4415.190923716449;10.0;0.001;1550;10;1087.8
4112.290429181295;10.0;0.001;1600;10;2167.0
4061.2716201748726;10.0;0.001;1650;10;1211.6
3997.153693982026;10.0;0.001;1700;10;1798.8
4287.275113798496;10.0;0.001;1750;10;1016.2
4264.698990015037;10.0;0.001;1800;10;1053.2
3930.2769892447022;10.0;0.001;1850;10;1048.9
4205.92914152888;10.0;0.001;1900;10;2153.6
4059.0969011861716;10.0;0.001;1950;10;1065.1
4216.763795106939;10.0;0.001;2000;10;2078.6
4075.9551497701245;10.0;0.001;2050;10;1248.3
4427.776794331929;10.0;0.001;2100;10;2114.9
4289.124468802781;10.0;0.001;2150;10;1395.9
4070.838420876341;10.0;0.001;2200;10;1432.7
4252.911454870059;10.0;0.001;2250;10;1049.9
3923.8783840528927;10.0;0.001;2300;10;1456.8
4047.3935285522994;10.0;0.001;2350;10;1463.5
3982.4957770414844;10.0;0.001;2400;10;2348.7
4180.535287942746;10.0;0.001;2450;10;1049.0
4278.435597108605;10.0;0.001;2500;10;1055.7
4110.17677064021;10.0;0.001;2550;10;2218.8
4209.8410913859825;10.0;0.001;2600;10;1062.5
3966.0758487268176;10.0;0.001;2650;10;2361.8
3784.919392531781;10.0;0.001;2700;10;1033.1
4086.344623294487;10.0;0.001;2750;10;1164.4
4108.767077420423;10.0;0.001;2800;10;1464.2
4059.6314530620125;10.0;0.001;2850;10;1464.7
4038.1521916786674;10.0;0.001;2900;10;1451.8
4354.5507482781895;10.0;0.001;2950;10;1525.8
3907.6501203243697;10.0;0.001;3000;10;2418.9
4219.464053470127;10.0;0.001;3050;10;1355.8
3822.8954229921774;10.0;0.001;3100;10;1239.0
4120.95477843083;10.0;0.001;3150;10;1508.1
4428.274919595388;10.0;0.001;3200;10;1049.2
4258.827412516098;10.0;0.001;3250;10;1040.6
3980.8744562005636;10.0;0.001;3300;10;1530.9
4197.9842284987835;10.0;0.001;3350;10;2148.0
4234.052075702686;10.0;0.001;3400;10;1036.9
4195.6391073623245;10.0;0.001;3450;10;2027.7
4114.7578977615985;10.0;0.001;3500;10;2562.6
4124.1458673332845;10.0;0.001;3550;10;2521.8
4003.965763041599;10.0;0.001;3600;10;2192.5
4423.94645719553;10.0;0.001;3650;10;1058.0
3721.7228954464617;10.0;0.001;3700;10;1037.9
4390.894920116737;10.0;0.001;3750;10;2540.8
4371.83673309743;10.0;0.001;3800;10;1453.8
4233.074152885649;10.0;0.001;3850;10;1524.6
4199.255848606557;10.0;0.001;3900;10;2272.1
4240.6212086874375;10.0;0.001;3950;10;2266.2
4247.120742978819;10.0;0.001;4000;10;2295.8
